bank_name,url,selector,js,type,pref,code
大阪府医師信用組合,https://www.odcu.co.jp/,,,信用組合,大阪府,2560
大阪府警察信用組合,https://osaka-keishin.co.jp/rate/,,,信用組合,大阪府,2566
近畿産業信用組合,https://www.kinsan.co.jp/fee/,,,信用組合,大阪府,2567
朝日新聞信用組合,https://www.asahishimbun.shinkumi.jp/interest-rates_commissions/deposit-interest-rate/,,,信用組合,東京都,2580
毎日信用組合,https://www.mainichi-shinkumi.com/yokin/,,,信用組合,大阪府,2581
ミレ信用組合,https://www.mire.co.jp/shohin/kinri/,,,信用組合,大阪府,2582
兵庫県警察信用組合,https://www.hyogo-keishin.co.jp/deposit/deposit-rate.html,,,信用組合,兵庫県,2602
兵庫県医療信用組合,https://www.hyoishin.co.jp/yokin/,,,信用組合,兵庫県,2605
兵庫県信用組合,https://www.hyogokenshin.co.jp/tameru.html,,,信用組合,兵庫県,2606
神戸市職員信用組合,https://www.kobe-syokusin.shinkumi.jp/yokinriritsu.html,,,信用組合,兵庫県,2610
淡陽信用組合,https://www.danyo.co.jp/tameru/,,,信用組合,兵庫県,2616
兵庫ひまわり信用組合,https://www.h-himawari.com/rate/,,,信用組合,兵庫県,2620
和歌山県医師信用組合,https://www.wakayamaishishin.co.jp/yokin.html,,,信用組合,和歌山県,2634
島根益田信用組合,https://www.masushin.gifu.jp/tesuryou/,,,信用組合,島根県,2661
朝銀西信用組合,https://www.chogin-nishi.com/rate/,,,信用組合,岡山県,2672
笠岡信用組合,https://www.kasaoka.shinkumi.jp/kinri/index.html,,,信用組合,岡山県,2674
広島市信用組合,https://www.hiroshimashi.shinkumi.jp/rate_fee/,,,信用組合,広島県,2680
広島県信用組合,https://www.hiroshima-kenshin.co.jp/interest/,,,信用組合,広島県,2681
信用組合広島商銀,https://www.shogin.com/wp-content/uploads/2024/04/news20240409.pdf,,,信用組合,広島県,2684
呉市職員信用組合,http://www.kureshoku.shinkumi.jp/,,,信用組合,広島県,2686
両備信用組合,https://www.ryobishinkumi.co.jp/tameru/kinri.html,,,信用組合,広島県,2690
備後信用組合,https://www.binshin.co.jp/service/interest.html,,,信用組合,広島県,2696
山口県信用組合,https://www.yamaguchiken.shinkumi.jp/disclosure/mini_dis/mini2022.pdf,,,信用組合,山口県,2703
香川県信用組合,https://www.kagawaken.shinkumi.jp/interest_rate/,,,信用組合,香川県,2721
土佐信用組合,http://www.tosa.shinkumi.jp/pdf/pamphlet/yokin/tento_yokinriritu.pdf,,,信用組合,高知県,2740
宿毛商銀信用組合,http://sukumo-shogin.co.jp/yokin.html,,,信用組合,高知県,2741
福岡県庁信用組合,https://www.fukuokakenchou.shinkumi.jp/tameru/tameru.html,,,信用組合,福岡県,2751
福岡県医師信用組合,https://fukuisin.jp/rate/,,,信用組合,福岡県,2753
福岡県信用組合,https://kenshin-f.jp/files/libs/2265/202404231305519595.pdf,,,信用組合,福岡県,2773
佐賀県医師信用組合,http://www.saga-doctor.shinkumi.jp/deposit.html,,,信用組合,佐賀県,2802
佐賀東信用組合,https://www.saga-s.co.jp/articles/-/1228949,,,信用組合,佐賀県,2803
佐賀西信用組合,https://www.saganishi.shinkumi.jp/saving/index.html,,,信用組合,佐賀県,2808
長崎三菱信用組合,https://www.ryo-sin.co.jp/kojin/tameru/kinri_tameru.html,,,信用組合,長崎県,2820
長崎県医師信用組合,https://www.nagasaki-ishishin.jp/deposit,,,信用組合,長崎県,2821
